🎲 Texas Hold'em Poker Game Log 15 🎲
==================================================

📊 Detailed Game Log:
==================================================

🔄 Round 1
----------------------------------------
Initial State:
👤 Xun             | [♦️ 6] [♣️ 8]        | 💰  1000
👤 PlayerXinZhu    | [♠️ Q] [♠️ 3]        | 💰   995
👤 Elvis           | [♣️ A] [♠️ 4]        | 💰   990
👤 ZheyuX          | [♦️ T] [♥️ Q]        | 💰  1000

🎴 PREFLOP
Board: [  ]
👤 PlayerXinZhu    | [♣️ 3] [♥️ 2]        | 💰  2035
👤 Elvis           | [♣️ A] [♣️ 2]        | 💰  1949

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♣️ 3] [♥️ 2] |   26.20% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2035 ➡️ (+0)
  Elvis          : $  1964 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 19
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 3] [♣️ 9]        | 💰  2025
👤 Elvis           | [♣️ 8] [♣️ A]        | 💰  1959

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 8] [♣️ A] |   64.60% | ✅ call:$10
  PlayerXinZhu    | [♣️ 3] [♣️ 9] |   35.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2025 ➡️ (+0)
  Elvis          : $  1974 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 20
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 9] [♣️ 7]        | 💰  2020
👤 Elvis           | [♥️ J] [♥️ A]        | 💰  1964

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♣️ 9] [♣️ 7] |   39.90% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2020 ➡️ (+0)
  Elvis          : $  1979 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 21
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 9] [♦️ J]        | 💰  2010
👤 Elvis           | [♣️ T] [♣️ 3]        | 💰  1974

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ T] [♣️ 3] |   37.20% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2025 📈 (+15)
  Elvis          : $  1974 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 22
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♠️ A] [♦️ 4]        | 💰  2020
👤 Elvis           | [♦️ 8] [♥️ 2]        | 💰  1964

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♠️ A] [♦️ 4] |   63.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2020 ➡️ (+0)
  Elvis          : $  1979 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 23
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♠️ 3] [♥️ 3]        | 💰  2010
👤 Elvis           | [♦️ 9] [♣️ A]        | 💰  1974

🎴 PREFLOP
Board: [  ]
  Elvis           | [♦️ 9] [♣️ A] |   47.00% | ✅ call:$10
  PlayerXinZhu    | [♠️ 3] [♥️ 3] |   53.40% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2010 ➡️ (+0)
  Elvis          : $  1989 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 24
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ 4] [♣️ 4]        | 💰  2005
👤 Elvis           | [♦️ 4] [♦️ J]        | 💰  1979

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ 4] [♣️ 4] |   65.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2005 ➡️ (+0)
  Elvis          : $  1994 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 25
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ K] [♣️ 8]        | 💰  1995
👤 Elvis           | [♣️ J] [♦️ 9]        | 💰  1989

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ J] [♦️ 9] |   41.60% | ✅ call:$10
  PlayerXinZhu    | [♣️ K] [♣️ 8] |   59.40% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1995 ➡️ (+0)
  Elvis          : $  2004 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 26
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 3] [♥️ 8]        | 💰  1990
👤 Elvis           | [♦️ T] [♥️ J]        | 💰  1994

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ 3] [♥️ 8] |   30.20% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1990 ➡️ (+0)
  Elvis          : $  2009 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 27
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 6] [♣️ 9]        | 💰  1980
👤 Elvis           | [♣️ K] [♥️ 2]        | 💰  2004

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ K] [♥️ 2] |   51.60% | ✅ call:$10
  PlayerXinZhu    | [♣️ 6] [♣️ 9] |   48.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1980 ➡️ (+0)
  Elvis          : $  2019 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 28
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ J] [♥️ 8]        | 💰  1975
👤 Elvis           | [♣️ T] [♣️ 3]        | 💰  2009

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ J] [♥️ 8] |   61.10% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1975 ➡️ (+0)
  Elvis          : $  2024 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 29
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♠️ T] [♥️ Q]        | 💰  1965
👤 Elvis           | [♣️ 8] [♣️ J]        | 💰  2019

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 8] [♣️ J] |   42.10% | ✅ call:$10
  PlayerXinZhu    | [♠️ T] [♥️ Q] |   58.90% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1965 ➡️ (+0)
  Elvis          : $  2034 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 30
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 5] [♥️ Q]        | 💰  1960
👤 Elvis           | [♠️ 5] [♥️ 2]        | 💰  2024

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ 5] [♥️ Q] |   74.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1960 ➡️ (+0)
  Elvis          : $  2039 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 31
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 2] [♠️ 8]        | 💰  1950
👤 Elvis           | [♥️ 4] [♥️ 3]        | 💰  2034

🎴 PREFLOP
Board: [  ]
  Elvis           | [♥️ 4] [♥️ 3] |   51.50% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1965 📈 (+15)
  Elvis          : $  2034 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 32
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ 3] [♥️ 6]        | 💰  1960
👤 Elvis           | [♥️ K] [♠️ 9]        | 💰  2024

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ 3] [♥️ 6] |   35.80% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1960 ➡️ (+0)
  Elvis          : $  2039 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 33
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♠️ 4] [♦️ T]        | 💰  1950
👤 Elvis           | [♠️ 5] [♥️ 2]        | 💰  2034

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ 5] [♥️ 2] |   38.20% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1965 📈 (+15)
  Elvis          : $  2034 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 34
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 4] [♥️ A]        | 💰  1960
👤 Elvis           | [♠️ T] [♠️ J]        | 💰  2024

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ 4] [♥️ A] |   50.40% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1960 ➡️ (+0)
  Elvis          : $  2039 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 35
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ 3] [♦️ 7]        | 💰  1950
👤 Elvis           | [♠️ Q] [♦️ 6]        | 💰  2034

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ Q] [♦️ 6] |   64.10% | ✅ call:$10
  PlayerXinZhu    | [♥️ 3] [♦️ 7] |   36.50% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1950 ➡️ (+0)
  Elvis          : $  2049 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 36
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ 2] [♦️ 7]        | 💰  1945
👤 Elvis           | [♥️ 4] [♠️ J]        | 💰  2039

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ 2] [♦️ 7] |   36.80% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1945 ➡️ (+0)
  Elvis          : $  2054 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 37
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ T] [♣️ 3]        | 💰  1935
👤 Elvis           | [♣️ 9] [♥️ 7]        | 💰  2049

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 9] [♥️ 7] |   46.20% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1950 📈 (+15)
  Elvis          : $  2049 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 38
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 5] [♦️ J]        | 💰  1945
👤 Elvis           | [♣️ J] [♦️ 8]        | 💰  2039

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♣️ 5] [♦️ J] |   41.80% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1945 ➡️ (+0)
  Elvis          : $  2054 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 39
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 3] [♥️ T]        | 💰  1935
👤 Elvis           | [♥️ 3] [♦️ T]        | 💰  2049

🎴 PREFLOP
Board: [  ]
  Elvis           | [♥️ 3] [♦️ T] |   99.20% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1950 📈 (+15)
  Elvis          : $  2049 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 40
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ J] [♣️ 3]        | 💰  1945
👤 Elvis           | [♦️ 2] [♥️ 7]        | 💰  2039

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ J] [♣️ 3] |   63.10% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1945 ➡️ (+0)
  Elvis          : $  2054 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 41
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 6] [♣️ 7]        | 💰  1935
👤 Elvis           | [♣️ 2] [♦️ 5]        | 💰  2049

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 2] [♦️ 5] |   37.70% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1950 📈 (+15)
  Elvis          : $  2049 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 42
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ K] [♥️ K]        | 💰  1945
👤 Elvis           | [♠️ K] [♠️ 2]        | 💰  2039

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♣️ K] [♥️ K] |   90.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1945 ➡️ (+0)
  Elvis          : $  2054 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 43
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ T] [♦️ 2]        | 💰  1935
👤 Elvis           | [♦️ A] [♣️ 9]        | 💰  2049

🎴 PREFLOP
Board: [  ]
  Elvis           | [♦️ A] [♣️ 9] |   64.60% | ✅ call:$10
  PlayerXinZhu    | [♣️ T] [♦️ 2] |   35.90% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1935 ➡️ (+0)
  Elvis          : $  2064 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 44
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♠️ 2] [♦️ 3]        | 💰  1930
👤 Elvis           | [♣️ 5] [♣️ 3]        | 💰  2054

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♠️ 2] [♦️ 3] |   52.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1930 ➡️ (+0)
  Elvis          : $  2069 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 45
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 9] [♠️ 7]        | 💰  1920
👤 Elvis           | [♠️ 6] [♥️ T]        | 💰  2064

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ 6] [♥️ T] |   59.10% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1935 📈 (+15)
  Elvis          : $  2064 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 46
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ A] [♣️ 2]        | 💰  1930
👤 Elvis           | [♥️ K] [♠️ 5]        | 💰  2054

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ A] [♣️ 2] |   63.60% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1930 ➡️ (+0)
  Elvis          : $  2069 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 47
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ J] [♠️ 9]        | 💰  1920
👤 Elvis           | [♥️ T] [♥️ 3]        | 💰  2064

🎴 PREFLOP
Board: [  ]
  Elvis           | [♥️ T] [♥️ 3] |   35.80% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1935 📈 (+15)
  Elvis          : $  2064 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 48
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ 5] [♥️ 9]        | 💰  1930
👤 Elvis           | [♠️ J] [♠️ 4]        | 💰  2054

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ 5] [♥️ 9] |   39.30% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1930 ➡️ (+0)
  Elvis          : $  2069 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 49
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ J] [♥️ T]        | 💰  1920
👤 Elvis           | [♠️ Q] [♦️ 8]        | 💰  2064

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ Q] [♦️ 8] |   53.30% | ✅ call:$10
  PlayerXinZhu    | [♥️ J] [♥️ T] |   47.10% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1920 ➡️ (+0)
  Elvis          : $  2079 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 50
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ Q] [♣️ 2]        | 💰  1915
👤 Elvis           | [♥️ 4] [♥️ 5]        | 💰  2069

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ Q] [♣️ 2] |   50.30% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  1915 ➡️ (+0)
  Elvis          : $  2084 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🏁 Final Rankings:
--------------------------------------------------

🎮 Active Players:
1. 🏆 Elvis           | Stack:       2084 | Status: active
2. 👥 PlayerXinZhu    | Stack:       1915 | Status: active

💀 Eliminated Players:
3. 💀 Xun             | Stack: 0 (Max: 1000) | Status: eliminated (Round 12)
4. 💀 ZheyuX          | Stack: 0 (Max: 1000) | Status: eliminated (Round 2)
